document_id,paragraph_id,sentence_id,token_id,term_str,POS,speaker,coach_flag,stopword_flag,unimportant_flag
02_004_22c_100,1,1,3,tell,VB,Kristyn,1,0,0
02_004_22c_100,1,1,8,feel,VB,Kristyn,1,0,0
02_004_22c_100,1,2,2,give,VB,Kristyn,1,0,0
02_004_22c_100,1,2,5,thoughts,NNS,Kristyn,1,0,0
02_004_22c_100,1,3,3,vent,VB,Kristyn,1,0,0
02_004_22c_100,2,1,2,mean,VBP,Teacher,0,0,0
02_004_22c_100,2,1,3,like,IN,Teacher,0,0,0
02_004_22c_100,2,1,6,anything,NN,Teacher,0,0,0
02_004_22c_100,2,1,10,like,VB,Teacher,0,0,0
02_004_22c_100,2,1,11,say,VB,Teacher,0,0,0
02_004_22c_100,2,1,14,ethan,NNP,Teacher,0,0,0
02_004_22c_100,2,1,19,going,VBG,Teacher,0,0,0
02_004_22c_100,2,1,24,matter,NN,Teacher,0,0,0
02_004_22c_100,3,1,3,think,VBP,Kristyn,1,0,0
02_004_22c_100,3,1,7,fair,JJ,Kristyn,1,0,0
02_004_22c_100,3,1,8,question,NN,Kristyn,1,0,0
02_004_22c_100,3,2,1,um,IN,Kristyn,1,0,0
02_004_22c_100,3,2,3,think,VBP,Kristyn,1,0,0
02_004_22c_100,3,2,6,worth,JJ,Kristyn,1,0,0
02_004_22c_100,3,2,7,noting,VBG,Kristyn,1,0,0
02_004_22c_100,3,2,9,like,IN,Kristyn,1,0,0
02_004_22c_100,3,2,12,classroom,NN,Kristyn,1,0,0
02_004_22c_100,3,2,13,interruptions,NNS,Kristyn,1,0,0
02_004_22c_100,3,2,15,misbehavior,JJ,Kristyn,1,0,0
02_004_22c_100,3,2,16,escalates,NNS,Kristyn,1,0,0
02_004_22c_100,3,3,5,reality,NN,Kristyn,1,0,0
02_004_22c_100,3,3,10,class,NN,Kristyn,1,0,0
02_004_22c_100,3,3,13,hopefully,RB,Kristyn,1,0,0
02_004_22c_100,3,3,18,conversation,NN,Kristyn,1,0,0
02_004_22c_100,3,3,21,kind,NN,Kristyn,1,0,0
02_004_22c_100,3,3,23,help,NN,Kristyn,1,0,0
02_004_22c_100,3,3,25,figure,VBP,Kristyn,1,0,0
02_004_22c_100,3,3,29,collapse,VB,Kristyn,1,0,0
02_004_22c_100,3,3,31,opposed,VBN,Kristyn,1,0,0
02_004_22c_100,3,3,33,escalate,VB,Kristyn,1,0,0
02_004_22c_100,3,3,35,kind,NN,Kristyn,1,0,0
02_004_22c_100,3,3,37,ridiculousness,NN,Kristyn,1,0,0
02_004_22c_100,3,4,1,um,NNP,Kristyn,1,0,0
02_004_22c_100,3,4,2,one,CD,Kristyn,1,0,0
02_004_22c_100,3,4,3,thing,NN,Kristyn,1,0,0
02_004_22c_100,3,4,6,saw,VBD,Kristyn,1,0,0
02_004_22c_100,3,4,11,really,RB,Kristyn,1,0,0
02_004_22c_100,3,4,12,well,RB,Kristyn,1,0,0
02_004_22c_100,3,4,15,really,RB,Kristyn,1,0,0
02_004_22c_100,3,4,16,cannot,JJ,Kristyn,1,0,0
02_004_22c_100,3,4,17,overstate,NN,Kristyn,1,0,0
02_004_22c_100,3,4,20,acknowledged,VBN,Kristyn,1,0,0
02_004_22c_100,3,4,21,every,DT,Kristyn,1,0,0
02_004_22c_100,3,4,22,misbehavior,NN,Kristyn,1,0,0
02_004_22c_100,3,4,24,name,NN,Kristyn,1,0,0
02_004_22c_100,3,5,3,kids,NNS,Kristyn,1,0,0
02_004_22c_100,3,5,4,started,VBD,Kristyn,1,0,0
02_004_22c_100,3,5,5,acting,VBG,Kristyn,1,0,0
02_004_22c_100,3,5,7,topic,NN,Kristyn,1,0,0
02_004_22c_100,3,5,9,task,NN,Kristyn,1,0,0
02_004_22c_100,3,5,11,deviating,VBG,Kristyn,1,0,0
02_004_22c_100,3,5,14,objective,NN,Kristyn,1,0,0
02_004_22c_100,3,5,16,said,VBD,Kristyn,1,0,0
02_004_22c_100,3,5,18,name,NN,Kristyn,1,0,0
02_004_22c_100,3,5,23,clear,JJ,Kristyn,1,0,0
02_004_22c_100,3,5,26,understood,VBP,Kristyn,1,0,0
02_004_22c_100,3,5,30,distracting,VBG,Kristyn,1,0,0
02_004_22c_100,3,5,33,objective,NN,Kristyn,1,0,0
02_004_22c_100,3,5,37,try,VB,Kristyn,1,0,0
02_004_22c_100,3,5,39,talk,VB,Kristyn,1,0,0
02_004_22c_100,3,5,45,like,JJ,Kristyn,1,0,0
02_004_22c_100,3,5,46,engage,VB,Kristyn,1,0,0
02_004_22c_100,3,5,49,like,IN,Kristyn,1,0,0
02_004_22c_100,3,5,51,sure,NN,Kristyn,1,0,0
02_004_22c_100,3,5,55,talk,VB,Kristyn,1,0,0
02_004_22c_100,3,5,57,disney,NNP,Kristyn,1,0,0
02_004_22c_100,3,5,58,plus,CC,Kristyn,1,0,0
02_004_22c_100,3,5,61,shows,VBZ,Kristyn,1,0,0
02_004_22c_100,3,5,66,focused,VBN,Kristyn,1,0,0
02_004_22c_100,3,5,69,objective,NN,Kristyn,1,0,0
02_004_22c_100,3,6,4,really,RB,Kristyn,1,0,0
02_004_22c_100,3,6,5,great,JJ,Kristyn,1,0,0
02_004_22c_100,3,7,1,something,VBG,Kristyn,1,0,0
02_004_22c_100,3,7,4,want,VBP,Kristyn,1,0,0
02_004_22c_100,3,7,6,practice,NN,Kristyn,1,0,0
02_004_22c_100,3,7,9,five,CD,Kristyn,1,0,0
02_004_22c_100,3,7,10,minutes,NNS,Kristyn,1,0,0
02_004_22c_100,3,7,12,improving,VBG,Kristyn,1,0,0
02_004_22c_100,3,7,14,specificity,NN,Kristyn,1,0,0
02_004_22c_100,3,7,17,redirection,NN,Kristyn,1,0,0
02_004_22c_100,3,8,4,mean,VBP,Kristyn,1,0,0
02_004_22c_100,3,8,8,making,VBG,Kristyn,1,0,0
02_004_22c_100,3,8,9,sure,JJ,Kristyn,1,0,0
02_004_22c_100,3,8,14,trying,VBG,Kristyn,1,0,0
02_004_22c_100,3,8,16,correct,VB,Kristyn,1,0,0
02_004_22c_100,3,8,17,student,NN,Kristyn,1,0,0
02_004_22c_100,3,8,18,behavior,IN,Kristyn,1,0,0
02_004_22c_100,3,8,20,use,VBP,Kristyn,1,0,0
02_004_22c_100,3,8,21,really,RB,Kristyn,1,0,0
02_004_22c_100,3,8,22,really,RB,Kristyn,1,0,0
02_004_22c_100,3,8,23,precise,JJ,Kristyn,1,0,0
02_004_22c_100,3,8,25,firm,JJ,Kristyn,1,0,0
02_004_22c_100,3,8,26,language,NN,Kristyn,1,0,0
02_004_22c_100,3,8,28,let,VB,Kristyn,1,0,0
02_004_22c_100,3,8,30,students,NNS,Kristyn,1,0,0
02_004_22c_100,3,8,31,know,VBP,Kristyn,1,0,0
02_004_22c_100,3,8,35,looking,VBG,Kristyn,1,0,0
02_004_22c_100,3,9,4,think,VB,Kristyn,1,0,0
02_004_22c_100,3,9,6,might,MD,Kristyn,1,0,0
02_004_22c_100,3,9,8,really,RB,Kristyn,1,0,0
02_004_22c_100,3,9,9,important,JJ,Kristyn,1,0,0
02_004_22c_100,4,1,1,um,NNP,Teacher,0,0,0
02_004_22c_100,4,1,2,well,RB,Teacher,0,0,0
02_004_22c_100,4,1,5,specific,JJ,Teacher,0,0,0
02_004_22c_100,4,1,9,less,JJR,Teacher,0,0,0
02_004_22c_100,4,1,10,room,NN,Teacher,0,0,0
02_004_22c_100,4,1,12,interpretation,NN,Teacher,0,0,0
02_004_22c_100,4,1,14,give,VB,Teacher,0,0,0
02_004_22c_100,4,1,17,inch,NN,Teacher,0,0,0
02_004_22c_100,4,1,20,take,VB,Teacher,0,0,0
02_004_22c_100,4,1,22,mile,NN,Teacher,0,0,0
02_004_22c_100,5,1,1,totally,RB,Kristyn,1,0,0
02_004_22c_100,5,2,3,think,VBP,Kristyn,1,0,0
02_004_22c_100,5,2,4,back,RB,Kristyn,1,0,0
02_004_22c_100,5,2,7,scenario,NN,Kristyn,1,0,0
02_004_22c_100,5,2,11,said,VBD,Kristyn,1,0,0
02_004_22c_100,5,2,14,like,IN,Kristyn,1,0,0
02_004_22c_100,5,2,16,couple,NN,Kristyn,1,0,0
02_004_22c_100,5,2,17,times,NNS,Kristyn,1,0,0
02_004_22c_100,5,2,20,would,MD,Kristyn,1,0,0
02_004_22c_100,5,2,21,say,VB,Kristyn,1,0,0
02_004_22c_100,5,2,22,something,NN,Kristyn,1,0,0
02_004_22c_100,5,2,23,like,IN,Kristyn,1,0,0
02_004_22c_100,5,2,27,distracting,VBG,Kristyn,1,0,0
02_004_22c_100,5,2,30,boy,NN,Kristyn,1,0,0
02_004_22c_100,5,2,31,would,MD,Kristyn,1,0,0
02_004_22c_100,5,2,32,say,VB,Kristyn,1,0,0
02_004_22c_100,5,2,33,something,NN,Kristyn,1,0,0
02_004_22c_100,5,2,34,like,IN,Kristyn,1,0,0
02_004_22c_100,5,2,41,think,VB,Kristyn,1,0,0
02_004_22c_100,5,2,45,distracting,VBG,Kristyn,1,0,0
02_004_22c_100,5,3,4,distracting,VBG,Kristyn,1,0,0
02_004_22c_100,5,4,3,kind,NN,Kristyn,1,0,0
02_004_22c_100,5,4,5,created,VBN,Kristyn,1,0,0
02_004_22c_100,5,4,7,back,NN,Kristyn,1,0,0
02_004_22c_100,5,4,9,forth,NN,Kristyn,1,0,0
02_004_22c_100,5,4,11,starts,VBZ,Kristyn,1,0,0
02_004_22c_100,5,4,13,seem,VB,Kristyn,1,0,0
02_004_22c_100,5,4,15,little,JJ,Kristyn,1,0,0
02_004_22c_100,5,4,16,bit,NN,Kristyn,1,0,0
02_004_22c_100,5,4,17,absurd,JJ,Kristyn,1,0,0
